customerID,Churn,InternetService,StreamingTV,tenure,Contract,MonthlyCharges
9659-QEQSY,No,Fiber optic,Yes,45,Month-to-month,115.65
1352-HNSAW,No,Fiber optic,Yes,72,Two year,115.6
0442-ZXKVS,No,Fiber optic,Yes,54,One year,115.6
8480-PPONV,No,Fiber optic,Yes,62,Two year,115.55
8263-QMNTJ,No,Fiber optic,Yes,72,Two year,115.55
2121-JAFOM,No,Fiber optic,Yes,72,Two year,115.55
0201-OAMXR,Yes,Fiber optic,Yes,70,One year,115.55
8015-IHCGW,No,Fiber optic,Yes,72,Two year,115.5
9298-WGMRW,No,Fiber optic,Yes,72,Two year,115.5
3882-IYOIJ,No,Fiber optic,Yes,60,Two year,115.25
2380-DAMQP,No,Fiber optic,Yes,72,Two year,115.15
3396-DKDEL,No,Fiber optic,Yes,70,Two year,115.15
0906-QVPMS,No,Fiber optic,Yes,72,Two year,115.15
3669-WHAFY,No,Fiber optic,Yes,71,Two year,115.15
7017-VFHAY,No,Fiber optic,Yes,61,Two year,115.1
8869-LIHMK,No,Fiber optic,Yes,64,Two year,115.1
3642-GKTCT,No,Fiber optic,Yes,61,One year,115.1
8894-JVDCV,No,Fiber optic,Yes,62,One year,115.05
1557-EMYVT,No,Fiber optic,Yes,43,Two year,115.05
8454-AATJP,No,Fiber optic,Yes,72,Two year,115.05
8029-XYPWT,No,Fiber optic,Yes,71,Two year,115.05
1229-RCALF,No,Fiber optic,Yes,64,One year,115.0
7176-WRTNX,No,Fiber optic,Yes,70,Two year,114.95
6919-ELBGL,No,Fiber optic,Yes,72,Two year,114.95
4304-TSPVK,No,Fiber optic,Yes,68,Two year,114.9
0164-APGRB,No,Fiber optic,Yes,72,Two year,114.9
2388-LAESQ,No,Fiber optic,Yes,72,Two year,114.85
4393-GEADV,No,Fiber optic,Yes,70,Two year,114.75
6445-TNRXS,No,Fiber optic,Yes,68,Two year,114.7
1779-PWPMG,No,Fiber optic,Yes,72,Two year,114.65
0206-TBWLC,No,Fiber optic,Yes,54,One year,114.65
5322-TEUJK,No,Fiber optic,Yes,71,Two year,114.6
0530-IJVDB,No,Fiber optic,Yes,70,Two year,114.6
8207-DMRVL,No,Fiber optic,Yes,72,Two year,114.55
4361-BKAXE,Yes,Fiber optic,Yes,41,Month-to-month,114.5
5135-GRQJV,No,Fiber optic,Yes,72,Two year,114.5
2040-XBAVJ,No,Fiber optic,Yes,72,Two year,114.45
7359-WWYJV,No,Fiber optic,Yes,72,Two year,114.45
6655-LHBYW,No,Fiber optic,Yes,50,One year,114.35
5375-XLDOF,No,Fiber optic,Yes,69,Two year,114.35
9896-UYMIE,No,Fiber optic,Yes,66,One year,114.3
7929-SKFGK,No,Fiber optic,Yes,70,Two year,114.3
0266-GMEAO,No,Fiber optic,Yes,72,Two year,114.3
1555-DJEQW,Yes,Fiber optic,Yes,70,Two year,114.2
9637-CDTKZ,No,Fiber optic,Yes,72,Two year,114.1
6710-HSJRD,No,Fiber optic,Yes,61,Month-to-month,114.1
3892-NXAZG,No,Fiber optic,Yes,72,Two year,114.05
4376-KFVRS,No,Fiber optic,Yes,72,Two year,114.05
3726-TBHQT,No,Fiber optic,Yes,71,Two year,114.0
9127-FHJBZ,No,Fiber optic,Yes,72,Two year,114.0
8085-MSNLK,No,Fiber optic,Yes,62,Two year,113.95
3258-SYSWS,No,Fiber optic,Yes,72,Two year,113.8
7663-CUXZB,No,Fiber optic,Yes,59,Two year,113.75
2368-GAKKQ,No,Fiber optic,Yes,70,Two year,113.65
9239-GZHZE,No,Fiber optic,Yes,72,Two year,113.65
9258-CNWAC,No,Fiber optic,Yes,71,Two year,113.65
4806-DXQCE,No,Fiber optic,Yes,70,Two year,113.65
5038-ETMLM,No,Fiber optic,Yes,72,Two year,113.65
7740-BTPUX,No,Fiber optic,Yes,55,Two year,113.6
9158-VCTQB,Yes,Fiber optic,Yes,41,Month-to-month,113.6
9746-MDMBK,No,Fiber optic,Yes,47,One year,113.45
8670-ERCJH,No,Fiber optic,Yes,72,Two year,113.4
0864-FVJNJ,No,Fiber optic,Yes,64,One year,113.35
1950-KSVVJ,No,Fiber optic,Yes,45,One year,113.3
3655-SNQYZ,No,Fiber optic,Yes,69,Two year,113.25
9786-IJYDL,No,Fiber optic,Yes,35,Two year,113.2
7279-BUYWN,Yes,Fiber optic,Yes,41,Month-to-month,113.2
9475-NNDGC,No,Fiber optic,Yes,71,One year,113.15
1043-UXOVO,No,Fiber optic,Yes,71,Two year,113.15
5271-YNWVR,Yes,Fiber optic,Yes,68,Two year,113.15
6859-QNXIQ,No,Fiber optic,Yes,72,Two year,113.1
3870-SPZSI,No,Fiber optic,Yes,70,Two year,113.05
0907-HQNTS,No,Fiber optic,Yes,70,Two year,113.0
5236-PERKL,Yes,Fiber optic,Yes,57,Two year,112.95
0771-WLCLA,No,Fiber optic,Yes,16,Month-to-month,112.95
9481-IEBZY,No,Fiber optic,Yes,72,Month-to-month,112.9
5183-KLYEM,No,Fiber optic,Yes,72,Two year,112.75
3520-FJGCV,No,Fiber optic,Yes,72,Two year,112.6
6993-YGFJV,No,Fiber optic,Yes,69,Two year,112.55
4829-ZLJTK,No,Fiber optic,Yes,72,Two year,112.4
8561-NMTBD,No,Fiber optic,Yes,67,One year,112.35
7255-SSFBC,No,Fiber optic,Yes,72,Two year,112.25
6480-YAGIY,No,Fiber optic,Yes,45,One year,112.2
0378-CJKPV,No,Fiber optic,Yes,72,Two year,112.1
2403-BCASL,Yes,Fiber optic,Yes,41,One year,111.95
6664-FPDAC,Yes,Fiber optic,Yes,56,One year,111.95
2193-SFWQW,No,Fiber optic,Yes,72,Two year,111.95
7055-JCGNI,No,Fiber optic,Yes,70,Two year,111.95
0619-OLYUR,No,Fiber optic,Yes,72,Two year,111.9
8099-MZPUJ,No,Fiber optic,Yes,48,Two year,111.8
7409-JURKQ,No,Fiber optic,Yes,53,One year,111.8
2632-IVXVF,No,Fiber optic,Yes,68,Two year,111.75
2469-DTSGX,No,Fiber optic,Yes,72,Two year,111.65
5304-EFJLP,No,Fiber optic,Yes,72,Two year,111.65
3090-HAWSU,Yes,Fiber optic,Yes,61,Two year,111.6
1891-QRQSA,No,Fiber optic,Yes,64,Two year,111.6
8853-TZDGH,No,Fiber optic,Yes,72,Two year,111.6
3584-WKTTW,No,Fiber optic,Yes,51,One year,111.55
7245-JMTTQ,No,Fiber optic,Yes,51,One year,111.5
2587-EKXTS,No,Fiber optic,Yes,44,Month-to-month,111.5
7130-YXBRO,No,Fiber optic,Yes,48,Month-to-month,111.45
1135-HIORI,No,Fiber optic,Yes,64,One year,111.45
6168-YBYNP,No,Fiber optic,Yes,59,Month-to-month,111.35
2773-OVBPK,No,Fiber optic,Yes,67,Two year,111.3
2659-VXMWZ,Yes,Fiber optic,Yes,67,One year,111.3
3508-CFVZL,No,Fiber optic,Yes,71,Two year,111.3
9249-FXSCK,Yes,Fiber optic,Yes,52,One year,111.25
0835-JKADZ,No,Fiber optic,Yes,71,Two year,111.25
3199-NPKCN,No,Fiber optic,Yes,67,One year,111.25
3022-BEXHZ,No,Fiber optic,Yes,67,Two year,111.2
0115-TFERT,Yes,Fiber optic,Yes,21,Month-to-month,111.2
8071-SBTRN,No,Fiber optic,Yes,70,Two year,111.15
2067-QYTCF,No,Fiber optic,Yes,64,Month-to-month,111.15
5514-YQENT,No,Fiber optic,Yes,41,Two year,111.15
9079-YEXQJ,Yes,Fiber optic,Yes,54,Month-to-month,111.1
8591-TKMZH,No,Fiber optic,Yes,59,Two year,111.1
6067-NGCEU,No,Fiber optic,Yes,65,Month-to-month,111.05
2323-ARSVR,No,Fiber optic,Yes,67,Two year,111.05
7030-FZTFM,No,Fiber optic,Yes,72,Two year,110.9
7632-MNYOY,Yes,Fiber optic,Yes,66,One year,110.9
9351-HXDMR,No,Fiber optic,Yes,72,Two year,110.9
6030-REHUX,No,Fiber optic,Yes,28,Month-to-month,110.85
4789-KWMXN,Yes,Fiber optic,Yes,47,One year,110.85
9835-ZIITK,Yes,Fiber optic,Yes,66,One year,110.85
2499-AJYUA,No,Fiber optic,Yes,72,Two year,110.8
5795-KTGUD,No,Fiber optic,Yes,68,Two year,110.8
4616-ULAOA,No,Fiber optic,Yes,65,Two year,110.8
2272-JKMSI,No,Fiber optic,Yes,62,One year,110.8
4118-CEVPF,No,Fiber optic,Yes,35,One year,110.8
9330-VOFSZ,No,Fiber optic,Yes,60,Two year,110.8
2272-WUSPA,No,Fiber optic,Yes,72,Two year,110.75
1320-REHCS,No,Fiber optic,Yes,52,Month-to-month,110.75
5099-BAILX,Yes,Fiber optic,Yes,43,Month-to-month,110.75
8920-NAVAY,No,Fiber optic,Yes,62,One year,110.75
9356-AXGMP,No,Fiber optic,Yes,38,One year,110.7
0409-WTMPL,No,Fiber optic,Yes,58,One year,110.65
8823-RLPWL,No,Fiber optic,Yes,72,Two year,110.65
4827-LTQRJ,No,Fiber optic,Yes,66,One year,110.6
6993-YCOBK,No,Fiber optic,Yes,60,Two year,110.6
1291-CUOCY,No,Fiber optic,Yes,72,Two year,110.6
4476-OSWTN,No,Fiber optic,Yes,69,One year,110.55
2673-CXQEU,No,Fiber optic,Yes,56,One year,110.5
1258-YMZNM,No,Fiber optic,Yes,27,One year,110.5
9405-GPBBG,No,Fiber optic,Yes,64,Two year,110.5
7519-JTWQH,No,Fiber optic,Yes,69,Two year,110.5
6297-NOOPG,No,Fiber optic,Yes,70,Two year,110.5
8008-ESFLK,No,Fiber optic,Yes,53,One year,110.5
7602-MVRMB,No,Fiber optic,Yes,72,Two year,110.45
3336-JORSO,Yes,Fiber optic,Yes,33,Month-to-month,110.45
1409-PHXTF,No,Fiber optic,Yes,54,Two year,110.45
6647-ZEDXT,No,Fiber optic,Yes,30,One year,110.45
8309-PPCED,No,Fiber optic,Yes,72,Two year,110.45
3870-MQAMG,Yes,Fiber optic,Yes,54,One year,110.35
3729-OWRVL,No,Fiber optic,Yes,65,Two year,110.35
3580-HYCSP,No,Fiber optic,Yes,72,Two year,110.3
2789-CZANW,No,Fiber optic,Yes,64,Two year,110.3
1936-UAFEH,No,Fiber optic,Yes,68,Two year,110.25
4627-MIHJH,No,Fiber optic,Yes,69,Two year,110.25
5153-LXKDT,No,Fiber optic,Yes,68,Two year,110.2
8707-HOEDG,No,Fiber optic,Yes,70,Two year,110.2
7576-JMYWV,No,Fiber optic,Yes,46,Month-to-month,110.2
9070-BCKQP,No,Fiber optic,Yes,72,Two year,110.15
2408-TZMJL,Yes,Fiber optic,Yes,59,One year,110.15
7566-DSRLQ,No,Fiber optic,Yes,72,Two year,110.15
2931-SVLTV,No,Fiber optic,Yes,40,Month-to-month,110.1
4778-IZARL,No,Fiber optic,Yes,63,Two year,110.1
3244-CQPHU,No,Fiber optic,Yes,72,Two year,110.1
2988-QRAJY,No,Fiber optic,Yes,69,Two year,110.05
5027-YOCXN,No,Fiber optic,Yes,51,One year,110.05
7868-TMWMZ,No,Fiber optic,Yes,60,Two year,110.0
3192-NQECA,Yes,Fiber optic,Yes,68,Two year,110.0
0691-IFBQW,Yes,Fiber optic,Yes,46,One year,110.0
6333-YDVLT,No,Fiber optic,Yes,65,One year,110.0
1841-YSJGV,No,Fiber optic,Yes,72,Two year,109.95
0136-IFMYD,No,Fiber optic,Yes,69,Two year,109.95
3174-RKMOW,No,Fiber optic,Yes,35,Month-to-month,109.95
0254-FNMCI,No,Fiber optic,Yes,72,Two year,109.9
0795-GMVQO,No,Fiber optic,Yes,67,One year,109.9
0177-PXBAT,No,Fiber optic,Yes,33,Month-to-month,109.9
1656-DRSMG,No,Fiber optic,Yes,63,Month-to-month,109.85
6198-PNNSZ,No,Fiber optic,Yes,56,One year,109.8
6689-VRRTK,No,Fiber optic,Yes,44,One year,109.8
3331-HQDTW,Yes,Fiber optic,Yes,34,Month-to-month,109.8
1162-ECVII,No,Fiber optic,Yes,72,Two year,109.75
4670-TABXH,No,Fiber optic,Yes,72,Two year,109.75
1725-IQNIY,Yes,Fiber optic,Yes,54,Two year,109.75
7446-KQISO,No,Fiber optic,Yes,45,Two year,109.75
9866-OCCKE,No,Fiber optic,Yes,72,Two year,109.75
0013-SMEOE,No,Fiber optic,Yes,71,Two year,109.7
4909-JOUPP,No,Fiber optic,Yes,72,Two year,109.7
1360-XFJMR,No,Fiber optic,Yes,67,One year,109.7
9680-NIAUV,No,Fiber optic,Yes,72,Two year,109.7
6295-OSINB,No,Fiber optic,Yes,72,Two year,109.65
0237-YFUTL,No,Fiber optic,Yes,50,Month-to-month,109.65
5013-SBUIH,Yes,Fiber optic,Yes,50,Two year,109.65
1061-PNTHC,No,Fiber optic,Yes,56,Month-to-month,109.6
5945-AZYHT,No,Fiber optic,Yes,71,One year,109.6
9360-AHGNL,Yes,Fiber optic,Yes,43,One year,109.55
3518-FSTWG,No,Fiber optic,Yes,72,Two year,109.55
0536-ACXIP,No,Fiber optic,Yes,72,Two year,109.55
6599-RCLCJ,Yes,Fiber optic,Yes,47,Month-to-month,109.55
4176-FXYBO,No,Fiber optic,Yes,54,Month-to-month,109.55
2731-GJRDG,No,Fiber optic,Yes,32,One year,109.55
9802-CAQUT,No,Fiber optic,Yes,72,Two year,109.55
0748-RDGGM,Yes,Fiber optic,Yes,70,One year,109.5
1984-FCOWB,Yes,Fiber optic,Yes,70,One year,109.5
3831-YCPUO,No,Fiber optic,Yes,72,Two year,109.5
5089-IFSDP,Yes,Fiber optic,Yes,58,Two year,109.45
2522-AHJXR,No,Fiber optic,Yes,60,Month-to-month,109.45
9052-VKDUW,No,Fiber optic,Yes,65,Month-to-month,109.4
7537-CBQUZ,No,Fiber optic,Yes,63,Month-to-month,109.4
0103-CSITQ,No,Fiber optic,Yes,57,One year,109.4
8849-PRIQJ,No,Fiber optic,Yes,67,One year,109.4
1163-VIPRI,No,Fiber optic,Yes,65,Two year,109.3
2599-CIPQE,No,Fiber optic,Yes,71,Two year,109.3
1428-IEDPR,No,Fiber optic,Yes,52,Two year,109.3
6308-CQRBU,No,Fiber optic,Yes,71,Two year,109.25
3886-CERTZ,Yes,Fiber optic,Yes,72,One year,109.25
3617-XLSGQ,No,Fiber optic,Yes,66,Two year,109.25
9488-FYQAU,No,Fiber optic,Yes,63,Two year,109.25
5574-NXZIU,No,Fiber optic,Yes,63,Two year,109.2
6614-FHDBO,No,Fiber optic,Yes,72,Two year,109.2
0961-ZWLVI,No,Fiber optic,Yes,49,One year,109.2
8901-UPRHR,No,Fiber optic,Yes,72,Two year,109.2
3612-YUNGG,No,Fiber optic,Yes,64,Two year,109.2
3571-RFHAR,Yes,Fiber optic,Yes,65,Month-to-month,109.15
5140-FOMCQ,No,Fiber optic,Yes,59,One year,109.15
2266-SJNAT,No,Fiber optic,Yes,72,One year,109.15
8819-ZBYNA,No,Fiber optic,Yes,58,Two year,109.1
9278-VZKCD,No,Fiber optic,Yes,52,Month-to-month,109.1
4567-AKPIA,No,Fiber optic,Yes,41,One year,109.1
2307-FYNNL,No,Fiber optic,Yes,65,Two year,109.05
3766-EJLFL,No,Fiber optic,Yes,68,Two year,109.05
3407-JMJQQ,No,Fiber optic,Yes,71,Two year,109.0
8495-LJDFO,No,Fiber optic,Yes,64,Month-to-month,108.95
5172-RKOCB,No,Fiber optic,Yes,72,Two year,108.95
4350-ZTLPI,No,Fiber optic,Yes,53,One year,108.95
6733-LRIZX,No,Fiber optic,Yes,35,Two year,108.95
4016-BJKTZ,No,Fiber optic,Yes,25,Two year,108.9
9971-ZWPBF,No,Fiber optic,Yes,34,Month-to-month,108.9
0345-XMMUG,No,Fiber optic,Yes,46,Two year,108.9
3424-NMNBO,Yes,Fiber optic,Yes,58,One year,108.85
3761-FLYZI,No,Fiber optic,Yes,65,Month-to-month,108.8
2144-BFDSO,No,Fiber optic,Yes,50,Month-to-month,108.75
8213-TAZPM,No,Fiber optic,Yes,69,One year,108.75
2027-WKXMW,No,Fiber optic,Yes,63,Month-to-month,108.75
1150-WFARN,Yes,Fiber optic,Yes,67,Two year,108.75
6990-YNRIO,Yes,Fiber optic,Yes,65,Two year,108.65
1053-MXTTK,No,Fiber optic,Yes,72,Two year,108.65
2001-MCUUW,No,Fiber optic,Yes,46,Two year,108.65
7317-GGVPB,Yes,Fiber optic,Yes,71,Two year,108.6
9101-BWFSS,Yes,Fiber optic,Yes,50,One year,108.55
2798-NYLMZ,No,Fiber optic,Yes,71,Two year,108.55
5168-MQQCA,No,Fiber optic,Yes,72,One year,108.5
5966-EMAZU,No,Fiber optic,Yes,64,One year,108.5
8041-TMEID,No,Fiber optic,Yes,63,Two year,108.5
4250-ZBWLV,Yes,Fiber optic,Yes,68,One year,108.45
5067-XJQFU,No,Fiber optic,Yes,66,One year,108.45
1216-BGTSP,No,Fiber optic,Yes,45,Month-to-month,108.45
1320-GVNHT,No,Fiber optic,Yes,72,Two year,108.4
5440-FLBQG,Yes,Fiber optic,Yes,69,Two year,108.4
2419-FSORS,No,Fiber optic,Yes,72,Two year,108.4
5981-ZVXOT,No,Fiber optic,Yes,35,One year,108.35
6362-QHAFM,No,Fiber optic,Yes,42,One year,108.3
6519-ZHPXP,No,Fiber optic,Yes,72,Two year,108.3
7550-WIQVA,No,Fiber optic,Yes,50,One year,108.25
1110-KYLGQ,No,Fiber optic,Yes,63,Month-to-month,108.25
1074-AMIOH,No,Fiber optic,Yes,53,Month-to-month,108.25
9031-ZVQPT,No,Fiber optic,Yes,72,Two year,108.2
4329-YPDDQ,No,Fiber optic,Yes,20,Month-to-month,108.2
0181-RITDD,No,Fiber optic,Yes,62,Two year,108.15
0363-QJVFX,Yes,Fiber optic,Yes,32,Month-to-month,108.15
1679-JRFBR,No,Fiber optic,Yes,70,One year,108.15
6179-GJPSO,Yes,Fiber optic,Yes,43,Month-to-month,108.15
6583-SZVGP,No,Fiber optic,Yes,48,Two year,108.1
0786-IVLAW,No,Fiber optic,Yes,66,One year,108.1
7134-HBPBS,No,Fiber optic,Yes,72,Two year,108.1
6723-WSNTY,No,Fiber optic,Yes,66,One year,108.1
3657-COGMW,No,Fiber optic,Yes,52,Month-to-month,108.1
2834-JRTUA,Yes,Fiber optic,Yes,71,Two year,108.05
9861-PDSZP,No,Fiber optic,Yes,72,Two year,108.05
2692-AQCPF,No,Fiber optic,Yes,65,One year,108.05
2651-ZCBXV,No,Fiber optic,Yes,54,Two year,108.0
1400-WIVLL,No,Fiber optic,Yes,57,Two year,107.95
6386-SZZKH,Yes,Fiber optic,Yes,49,Two year,107.95
9844-FELAJ,No,Fiber optic,Yes,70,One year,107.9
1833-TCXKK,No,Fiber optic,Yes,45,Month-to-month,107.75
1698-XFZCI,No,Fiber optic,Yes,61,One year,107.75
2000-MPKCA,No,Fiber optic,Yes,58,One year,107.75
8915-NNTRC,No,Fiber optic,Yes,72,Two year,107.7
7821-DPRQE,No,Fiber optic,Yes,68,Month-to-month,107.7
3096-YXENJ,No,Fiber optic,Yes,65,Two year,107.65
4683-WYDOU,No,Fiber optic,Yes,62,Two year,107.6
8327-LZKAS,Yes,Fiber optic,Yes,43,One year,107.55
0114-PEGZZ,No,Fiber optic,Yes,33,Month-to-month,107.55
2615-YVMYX,No,Fiber optic,Yes,71,Month-to-month,107.5
5954-BDFSG,No,Fiber optic,Yes,72,Two year,107.5
2886-KEFUM,Yes,Fiber optic,Yes,63,One year,107.5
8800-ZKRFW,No,Fiber optic,Yes,30,Month-to-month,107.5
9036-CSKBW,No,Fiber optic,Yes,51,One year,107.45
8265-HKSOW,No,Fiber optic,No,72,Two year,107.45
4056-QHXHZ,No,Fiber optic,Yes,72,Two year,107.45
5336-UFNZP,No,Fiber optic,Yes,65,One year,107.45
6394-MFYNG,Yes,Fiber optic,Yes,48,Month-to-month,107.4
8024-XNAFQ,No,Fiber optic,No,72,Two year,107.4
9659-ZTWSM,No,Fiber optic,Yes,66,One year,107.35
4566-GOLUK,Yes,Fiber optic,Yes,47,Month-to-month,107.35
6815-ABQFQ,No,Fiber optic,Yes,56,One year,107.25
8565-HBFNN,No,Fiber optic,No,69,One year,107.2
1297-VQDRP,No,Fiber optic,Yes,68,One year,107.15
4716-HHKQH,No,Fiber optic,Yes,20,Month-to-month,107.05
5481-NTDOH,No,Fiber optic,Yes,67,One year,107.05
3758-CKOQL,No,Fiber optic,No,59,One year,107.0
6777-TGHTM,Yes,Fiber optic,Yes,53,One year,106.95
3606-TWKGI,Yes,Fiber optic,Yes,13,Month-to-month,106.9
9137-UIYPG,No,Fiber optic,Yes,35,Month-to-month,106.9
3786-WOVKF,No,Fiber optic,Yes,72,One year,106.85
8152-UOBNY,No,Fiber optic,Yes,50,One year,106.8
4119-ZYPZY,No,Fiber optic,Yes,71,Two year,106.8
1784-EZDKJ,No,Fiber optic,Yes,51,One year,106.8
5035-PGZXH,No,Fiber optic,Yes,56,One year,106.8
9572-MTILT,Yes,Fiber optic,Yes,59,Month-to-month,106.75
9710-ZUSHQ,Yes,Fiber optic,Yes,37,Month-to-month,106.75
9558-IHEZX,No,Fiber optic,Yes,71,Two year,106.75
5055-BRMNE,No,Fiber optic,Yes,67,Two year,106.7
9959-WOFKT,No,Fiber optic,Yes,71,Two year,106.7
5855-EIBDE,No,Fiber optic,No,49,Two year,106.65
6591-QGOYB,No,Fiber optic,Yes,17,Month-to-month,106.65
1169-SAOCL,No,Fiber optic,Yes,49,One year,106.65
4010-YLMVT,No,Fiber optic,Yes,56,Month-to-month,106.6
6465-GSRCL,No,Fiber optic,Yes,67,One year,106.6
6804-GDMOI,Yes,Fiber optic,Yes,61,Two year,106.6
7825-ECJRF,Yes,Fiber optic,Yes,19,Month-to-month,106.6
8849-GYOKR,Yes,Fiber optic,Yes,54,One year,106.55
5748-RNCJT,Yes,Fiber optic,Yes,69,Two year,106.5
3692-JHONH,No,Fiber optic,Yes,52,One year,106.5
9822-WMWVG,No,Fiber optic,Yes,41,Month-to-month,106.5
6050-IJRHS,No,Fiber optic,Yes,70,One year,106.5
1502-XFCVR,Yes,Fiber optic,Yes,58,One year,106.45
8535-SFUTN,No,Fiber optic,Yes,61,Month-to-month,106.45
7048-GXDAY,No,Fiber optic,Yes,39,Month-to-month,106.4
8118-LSUEL,Yes,Fiber optic,Yes,23,Month-to-month,106.4
8938-UMKPI,Yes,Fiber optic,Yes,47,Month-to-month,106.4
1552-AAGRX,No,Fiber optic,Yes,30,Month-to-month,106.4
7718-UPSKJ,No,Fiber optic,Yes,69,One year,106.4
3757-NJYBX,Yes,Fiber optic,Yes,32,Month-to-month,106.35
4220-TINQT,No,Fiber optic,Yes,61,Month-to-month,106.35
5630-IXDXV,No,Fiber optic,Yes,47,Month-to-month,106.35
5161-UBZXI,No,Fiber optic,Yes,69,Two year,106.35
5380-WJKOV,Yes,Fiber optic,Yes,34,Month-to-month,106.35
3374-TTZTK,No,Fiber optic,Yes,52,Two year,106.3
8107-RZLNV,No,Fiber optic,Yes,72,Two year,106.3
0337-CNPZE,Yes,Fiber optic,Yes,41,Month-to-month,106.3
7067-KSAZT,Yes,Fiber optic,Yes,65,One year,106.25
1548-FEHVL,No,Fiber optic,Yes,61,Month-to-month,106.2
9912-OMZDS,No,Fiber optic,Yes,59,One year,106.15
6994-FGRHH,No,Fiber optic,Yes,70,One year,106.15
6377-WHAOX,No,Fiber optic,Yes,60,Month-to-month,106.15
7599-FKVXZ,Yes,Fiber optic,Yes,42,Month-to-month,106.15
3957-LXOLK,Yes,Fiber optic,Yes,28,Month-to-month,106.15
3865-YIOTT,No,Fiber optic,Yes,72,One year,106.1
1309-BXVOQ,Yes,Fiber optic,Yes,21,Month-to-month,106.1
9651-GTSAQ,Yes,Fiber optic,Yes,53,One year,106.1
3325-FUYCG,Yes,Fiber optic,Yes,28,One year,106.1
5668-MEISB,No,Fiber optic,Yes,72,Two year,106.1
1452-UZOSF,No,Fiber optic,Yes,72,Two year,106.1
1899-VXWXM,Yes,Fiber optic,Yes,48,One year,106.1
1017-FBQMM,No,Fiber optic,Yes,62,One year,106.05
7762-URZQH,Yes,Fiber optic,Yes,66,Two year,106.05
4393-RYCRE,No,Fiber optic,Yes,44,One year,106.05
5804-HYIEZ,No,Fiber optic,Yes,70,Month-to-month,106.05
1621-YNCJH,No,Fiber optic,No,36,Two year,106.05
8651-ENBZX,Yes,Fiber optic,Yes,60,One year,106.0
3259-FDWOY,Yes,Fiber optic,Yes,71,Two year,106.0
8564-LDKFL,No,Fiber optic,Yes,40,One year,106.0
5469-CTCWN,Yes,Fiber optic,Yes,61,One year,106.0
5056-FIMPT,No,Fiber optic,Yes,43,One year,106.0
1228-FZFRV,Yes,Fiber optic,Yes,50,Month-to-month,105.95
5130-IEKQT,Yes,Fiber optic,Yes,25,Month-to-month,105.95
0691-NIKRI,No,Fiber optic,Yes,40,One year,105.95
6425-YQLLO,Yes,Fiber optic,Yes,66,One year,105.95
1113-IUJYX,Yes,Fiber optic,Yes,14,One year,105.95
